new_year,entity,er_fsh_aqua_mt,er_fsh_capt_mt
1960-01-01,South Korea,18637.0,338564.0
1961-01-01,South Korea,17404.0,407113.0
1962-01-01,South Korea,23901.0,445551.0
1963-01-01,South Korea,80479.0,451868.0
1964-01-01,South Korea,72557.0,527726.0
1965-01-01,South Korea,73350.0,566749.0
1966-01-01,South Korea,91626.0,611931.0
1967-01-01,South Korea,96450.0,663787.0
1968-01-01,South Korea,105769.0,735298.0
1969-01-01,South Korea,80605.0,798940.0
1970-01-01,South Korea,124058.0,753291.0
1971-01-01,South Korea,151885.0,916429.0
1972-01-01,South Korea,163955.0,1179171.0
1973-01-01,South Korea,265546.0,1421467.0
1974-01-01,South Korea,343865.0,1681041.0
1975-01-01,South Korea,352495.0,1781746.0
1976-01-01,South Korea,412663.0,1993033.0
1977-01-01,South Korea,493461.0,1930481.0
1978-01-01,South Korea,395177.0,1958709.0
1979-01-01,South Korea,484844.0,1936739.0
1980-01-01,South Korea,545133.0,1864156.0
1981-01-01,South Korea,704890.0,2106131.0
1982-01-01,South Korea,603311.0,2038972.0
1983-01-01,South Korea,645426.0,2146521.0
1984-01-01,South Korea,679342.0,2229202.0
1985-01-01,South Korea,790769.0,2303171.0
1986-01-01,South Korea,952388.0,2708406.0
1987-01-01,South Korea,875568.0,2457850.0
1988-01-01,South Korea,898649.0,2317365.0
1989-01-01,South Korea,858573.0,2468774.0
1990-01-01,South Korea,788565.0,2496909.0
1991-01-01,South Korea,787977.0,2195470.0
1992-01-01,South Korea,955477.0,2348616.0
1993-01-01,South Korea,1056503.0,2279380.0
1994-01-01,South Korea,1092988.0,2385513.0
1995-01-01,South Korea,1017254.0,2342340.0
1996-01-01,South Korea,897041.0,2437331.0
1997-01-01,South Korea,1040210.0,2227947.0
1998-01-01,South Korea,796632.0,2040943.0
1999-01-01,South Korea,777711.0,2131769.0
2000-01-01,South Korea,667883.0,1838369.0
2001-01-01,South Korea,668022.0,2009472.0
2002-01-01,South Korea,794340.0,1704787.0
2003-01-01,South Korea,839845.0,1662267.0
2004-01-01,South Korea,952856.0,1590000.0
2005-01-01,South Korea,1057725.0,1662312.0
2006-01-01,South Korea,1279163.0,1773003.0
2007-01-01,South Korea,1399075.0,1888972.0
2008-01-01,South Korea,1394818.0,1971610.0
2009-01-01,South Korea,1331719.0,1872460.0
2010-01-01,South Korea,1377233.0,1735577.0
2011-01-01,South Korea,1499335.0,1757837.6
2012-01-01,South Korea,1509226.0,1676356.6
2013-01-01,South Korea,1533446.0,1607232.2
2014-01-01,South Korea,1567442.0,1754700.5
2015-01-01,South Korea,1676485.0,1659352.5
2016-01-01,South Korea,1859220.0,1372651.6
2017-01-01,South Korea,2334719.0,1360895.8
2018-01-01,South Korea,2278770.0,1403881.2
2019-01-01,South Korea,2399720.0,1426666.1
2020-01-01,South Korea,2334163.2,1375690.0
2021-01-01,South Korea,2435492.8,1360087.4
2022-01-01,South Korea,2313068.8,1260023.6
2023-01-01,South Korea,2304411.2,1316956.9
